Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated
LA,Bueng Kan,Bueng Kan District Office,"18.358249, 103.652055",CO,Air4Thai,ppm,2.67,2023-06-13T05:30:00+05:30
LT,Integrated Monitoring Network,NET-LT002A,"55.46333312949894, 26.004169460000004",PM2.5,EEA Lithuania,µg/m³,2.20000004,2024-03-11T16:30:00+05:30
LT,National Air Monitoring Network,NET-LT001A,"55.68999999950047, 21.17946",CO,EEA Lithuania,µg/m³,209.556,2024-03-11T16:30:00+05:30
LU,Air Quality Luxembourg,NET-LU005A,"49.61156999947028, 6.118470000000001",NO2,EEA Luxemburg,µg/m³,10.7,2024-03-11T17:30:00+05:30
LU,Air Quality Luxembourg,NET-LU005A,"49.505039999469965, 5.97694",PM2.5,EEA Luxemburg,µg/m³,8.0,2024-03-11T17:30:00+05:30
LV,Air Quality Monitoring Network,NET-LV002A,"56.960877999509684, 24.121171000000004",O3,EEA Latvia,µg/m³,70.544,2024-03-11T17:30:00+05:30
LV,Air Quality Monitoring Network,NET-LV002A,"56.960877999509684, 24.121171000000004",CO,EEA Latvia,µg/m³,190.0,2024-03-11T17:30:00+05:30
ME,Pljevlja,Gradina,"43.278596, 19.281092",NO2,Montenegro,µg/m³,2.1,2024-01-30T21:30:00+05:30
MK,State Air Quality Monitoring Network,NET-MK005A,"41.97832999999999, 21.47",O3,EEA Macedonia,µg/m³,66.6,2023-06-19T15:30:00+05:30
MK,State Air Quality Monitoring Network,NET-MK005A,"41.99199999999999, 21.423",CO,EEA Macedonia,µg/m³,1206.4,2024-03-11T17:30:00+05:30
MK,State Air Quality Monitoring Network,NET-MK005A,"41.70583, 21.765289999999997",NO,EEA Macedonia,µg/m³,2.875,2024-03-11T17:30:00+05:30
MK,State Air Quality Monitoring Network,NET-MK005A,"41.79973999999999, 20.90973",CO,EEA Macedonia,µg/m³,477.92,2024-03-11T17:30:00+05:30
MK,State Air Quality Monitoring Network,NET-MK005A,"41.139142, 22.49604",NO2,EEA Macedonia,µg/m³,1.2415,2024-01-30T02:30:00+05:30
MK,Tetovo Municipality,MK0041A,"42.0044399994659, 20.96807",NO,EEA Macedonia,µg/m³,9.925,2024-01-30T01:30:00+05:30
MM,Chiang Rai,Maesai Health Office,"20.427325, 99.883842",SO2,Air4Thai,ppm,0.0,2024-03-01T14:30:00+05:30
MN,Эрдэнэт хот,Эрдэнэт2,"49.01705555555556, 104.02813888888889",SO2,Tsag-Agaar.gov.mn,µg/m³,59.0,2019-12-31T17:30:00+05:30
MN,Ховд хот,Ховд,"47.996, 91.63391666666668",PM10,Tsag-Agaar.gov.mn,µg/m³,401.0,2019-12-31T05:30:00+05:30
MN,Ulaanbaatar,УБ-6,"47.91345, 106.97203055555556",NO2,Tsag-Agaar.gov.mn,µg/m³,31.0,2019-12-31T05:30:00+05:30
MX,AGUASCALIENTES,NTE,"21.919917, -102.276083",O3,AirNow,ppm,0.081,2024-03-08T08:30:00+05:30
MX,AGUASCALIENTES,SUR,"21.84525, -102.291222",CO,AirNow,ppm,1.0,2024-03-08T08:30:00+05:30
MX,Celaya,Policía,"20.5175, -100.81555555555998",PM10,Sinaica Mexico,µg/m³,30.33,2024-03-08T03:30:00+05:30
MX,San Juan del Río,San Juan del Río,"20.388888888889, -99.972147222222",NO2,Sinaica Mexico,ppm,0.01087,2024-03-08T01:30:00+05:30
MX,Pachuca de Soto,Museo del Rehilete,"20.077222222222, -98.77797222222202",NO,Sinaica Mexico,ppm,0.0030436666666666,2024-01-16T22:30:00+05:30
MX,Puebla,Universidad Tecnológica de Puebla,"19.071888888888996, -98.151722222222",O3,Sinaica Mexico,ppm,0.0273341414141414,2021-09-23T22:30:00+05:30
MX,"Col. Indeco, Cd. Industrial",Instituto Tecnológico de Villahermosa,"18.022933333333, -92.903219444444",SO2,Sinaica Mexico,ppm,0.0078461722222222,2024-02-17T07:30:00+05:30
MX,Durango,SRNyMA,"24.026777777777998, -104.69297500000002",O3,Sinaica Mexico,ppm,0.018215,2024-03-04T10:30:00+05:30
MX,Tonalá,Loma Dorada,"20.629294722222, -103.26397416667",NO2,Sinaica Mexico,ppm,0.013199,2021-03-16T21:30:00+05:30
MX,Almoloya de Juárez,Almoloya de Juárez,"19.370438888889, -99.75275",NOX,Sinaica Mexico,ppm,0.008,2024-02-19T02:30:00+05:30
MX,Tula de Allende,Universidad Tecnológica de Tula Tepeji,"20.000849833333003, -99.34375999999999",PM2.5,Sinaica Mexico,µg/m³,19.3062222222222,2024-03-03T03:30:00+05:30
MX,El Salto,Las Pintas,"20.576823888889, -103.32652861111",PM2.5,Sinaica Mexico,µg/m³,20.861,2024-03-02T12:30:00+05:30
MX,Coatzacoalcos,Bomberos y Protección Civil Municipal,"18.140805555556, -94.427416666667",CO,Sinaica Mexico,ppm,0.0,2024-02-16T00:30:00+05:30
MX,Tepeapulco,Estación de Bomberos de Cd. Sahagún,"19.771694444443998, -98.57769444444399",NO2,Sinaica Mexico,ppm,0.006156,2024-03-02T02:30:00+05:30
MX,Monterrey,Pueblo Serena,"25.575277777778, -100.24916666667",O3,Sinaica Mexico,ppm,0.055,2024-03-02T00:30:00+05:30
MX,Monterrey,Pueblo Serena,"25.575277777778, -100.24916666667",NO,Sinaica Mexico,ppm,0.0105,2024-03-02T00:30:00+05:30
MX,Pesquería,Pesquería,"25.790555555556004, -100.07852777778",NO2,Sinaica Mexico,ppm,0.0101999999999999,2024-03-02T00:30:00+05:30
MX,Juárez,Juárez,"25.646111111111, -100.09555555556",NOX,Sinaica Mexico,ppm,0.0402,2024-03-02T00:30:00+05:30
MX,Guadalupe,La Pastora,"25.668055555556002, -100.24944444443999",PM10,Sinaica Mexico,µg/m³,141.0,2024-03-02T00:30:00+05:30
MX,Querétaro,Carrillo Puerto,"20.610597222222, -100.43759722222",SO2,Sinaica Mexico,ppm,0.01383,2024-03-01T10:30:00+05:30
MX,JALISCO,Las Pintas,"20.576667, -103.326389",PM2.5,AirNow,µg/m³,79.5,2024-03-01T04:30:00+05:30
MX,San Andrés Tuxtla,Poder Judicial del Estado,"18.453361111111004, -95.223111111111",PM10,Sinaica Mexico,µg/m³,37.0,2024-02-29T21:30:00+05:30
MX,Aguascalientes,Centro,"21.883780555556, -102.295825",PM2.5,Sinaica Mexico,µg/m³,111.83,2024-02-19T20:30:00+05:30
MX,Aguascalientes,Centro,"21.883780555556, -102.295825",SO2,Sinaica Mexico,ppm,0.0,2024-02-21T18:30:00+05:30
MX,Aguascalientes,Centro,"21.883780555556, -102.295825",NO2,Sinaica Mexico,ppm,0.0221,2024-02-21T18:30:00+05:30
MX,Zapopan,Las Águilas,"20.631268055556, -103.41643083333",PM2.5,Sinaica Mexico,µg/m³,51.507,2024-02-24T10:30:00+05:30
MX,Mérida,SDS01,"20.973272222222, -89.624811111111",O3,Sinaica Mexico,ppm,0.0349363734,2024-02-22T09:30:00+05:30
MX,Irapuato,Sec. Oficial,"20.674836111111002, -101.35582777777998",NOX,Sinaica Mexico,ppm,0.02282,2023-06-14T07:30:00+05:30
MX,Irapuato,Bomberos,"21.118055555556, -101.60216666666999",NO,Sinaica Mexico,ppm,0.00878,2024-02-20T13:30:00+05:30
MX,Nueva Oxtotitlán,Oxtotitlán,"19.283444444444, -99.68348888888899",NO2,Sinaica Mexico,ppm,0.033,2024-02-20T10:30:00+05:30
