COGS,Date,Margin,Market Size,Market,Product Line,Product Type,Product,Profit,Sales,State,Total Expenses
51,2012-10-01 00:00:00.000,71,Major Market,Central,Leaves,Herbal Tea,Lemon,-5,122,Colorado,76
52,2012-10-01 00:00:00.000,71,Major Market,Central,Leaves,Herbal Tea,Mint,26,123,Colorado,45
43,2012-10-01 00:00:00.000,64,Major Market,South,Leaves,Herbal Tea,Lemon,28,107,Texas,36
38,2012-10-01 00:00:00.000,56,Major Market,East,Leaves,Tea,Darjeeling,35,94,Florida,21
72,2012-10-01 00:00:00.000,110,Major Market,West,Leaves,Tea,Green Tea,56,182,California,54
0,2012-10-01 00:00:00.000,43,Small Market,Central,Beans,Espresso,Decaf Espresso,31,43,Iowa,12
47,2012-10-01 00:00:00.000,64,Small Market,East,Beans,Espresso,Decaf Espresso,21,111,Connecticut,43
27,2012-10-01 00:00:00.000,39,Small Market,South,Beans,Coffee,Decaf Irish Cream,21,66,Oklahoma,18
31,2012-10-01 00:00:00.000,37,Small Market,West,Beans,Coffee,Decaf Irish Cream,7,68,Nevada,30
40,2012-10-01 00:00:00.000,59,Small Market,West,Beans,Espresso,Decaf Espresso,37,99,Utah,22
49,2012-10-01 00:00:00.000,71,Small Market,East,Beans,Coffee,Amaretto,33,120,New Hampshire,38
45,2012-10-01 00:00:00.000,69,Small Market,East,Beans,Coffee,Colombian,24,114,New Hampshire,45
45,2012-10-01 00:00:00.000,64,Small Market,East,Beans,Espresso,Caffe Mocha,-7,109,New Hampshire,71
60,2012-10-01 00:00:00.000,84,Small Market,South,Beans,Espresso,Caffe Latte,1,144,Louisiana,83
34,2012-10-01 00:00:00.000,43,Small Market,West,Beans,Coffee,Colombian,-2,77,Nevada,45
54,2012-10-01 00:00:00.000,66,Small Market,West,Beans,Espresso,Caffe Latte,12,120,Oregon,54
45,2012-10-01 00:00:00.000,64,Small Market,Central,Leaves,Herbal Tea,Chamomile,-6,109,Missouri,70
48,2012-10-01 00:00:00.000,70,Small Market,Central,Leaves,Herbal Tea,Lemon,45,118,Wisconsin,25
49,2012-10-01 00:00:00.000,71,Small Market,West,Leaves,Herbal Tea,Chamomile,33,120,Utah,38
48,2012-10-01 00:00:00.000,71,Small Market,West,Leaves,Herbal Tea,Lemon,47,119,Washington,24
40,2012-10-01 00:00:00.000,59,Small Market,East,Leaves,Tea,Darjeeling,36,99,Connecticut,23
82,2012-10-01 00:00:00.000,123,Small Market,West,Leaves,Tea,Earl Grey,64,205,Oregon,59
91,2012-10-01 00:00:00.000,127,Small Market,West,Leaves,Tea,Green Tea,76,218,Oregon,51
40,2012-11-01 00:00:00.000,52,Major Market,South,Beans,Coffee,Decaf Irish Cream,26,92,Texas,26
