ID,Vendor ID,Pick_up Loc,Drop Loc,Distance,Pick_up Time,Drop Time,Extra Charges,Total Amount,Trip Duration (min),Hour of Day,Day of Week
184629,1,87.0,260.0,8.4,2017-04-05 00:16:51,2017-04-05 00:36:36,0.5,26.8,19,0,Wednesday
282174,2,68.0,162.0,2.67,2017-04-06 00:42:08,2017-04-06 00:55:56,0.5,15.96,13,0,Thursday
948318,2,161.0,48.0,1.25,2017-04-05 00:14:04,2017-04-05 00:21:04,0.5,7.8,7,0,Wednesday
224074,2,4.0,17.0,4.35,2017-04-04 00:33:10,2017-04-04 00:49:46,0.5,22.25,16,0,Tuesday
716477,2,148.0,148.0,2.11,2017-04-07 00:33:19,2017-04-07 00:56:06,0.5,21.0,22,0,Friday
809440,2,249.0,62.0,5.21,2017-04-07 00:40:16,2017-04-07 00:59:50,0.5,19.8,19,0,Friday
886076,2,79.0,87.0,2.27,2017-04-07 00:50:30,2017-04-07 01:00:17,0.5,11.8,9,0,Friday
618876,2,161.0,158.0,3.28,2017-04-07 00:32:16,2017-04-07 00:48:45,0.5,18.36,16,0,Friday
228266,2,100.0,186.0,0.38,2017-04-07 00:32:35,2017-04-07 00:34:35,0.5,4.8,2,0,Friday
387907,2,256.0,256.0,0.5,2017-04-06 00:42:32,2017-04-06 00:45:52,0.5,5.8,3,0,Thursday
130218,2,138.0,140.0,8.39,2017-04-07 00:47:11,2017-04-07 01:03:28,0.5,31.56,16,0,Friday
501599,2,79.0,100.0,2.24,2017-04-05 00:57:58,2017-04-05 01:07:23,0.5,10.3,9,0,Wednesday
821198,1,170.0,231.0,2.6,2017-04-07 00:18:40,2017-04-07 00:31:28,0.5,14.0,12,0,Friday
354888,1,239.0,18.0,9.0,2017-04-04 00:15:35,2017-04-04 00:49:40,0.5,36.95,34,0,Tuesday
1034007,2,138.0,68.0,9.79,2017-04-07 00:00:40,2017-04-07 00:23:47,0.5,43.87,23,0,Friday
367755,2,138.0,4.0,9.3,2017-04-07 00:07:59,2017-04-07 00:26:46,0.5,33.96,18,0,Friday
630816,2,132.0,209.0,19.77,2017-04-07 00:30:18,2017-04-07 01:01:44,0.0,63.36,31,0,Friday
867930,2,125.0,181.0,5.58,2017-04-05 00:15:50,2017-04-05 00:32:25,0.5,30.07,16,0,Wednesday
268320,1,68.0,33.0,4.6,2017-04-05 00:12:23,2017-04-05 00:39:10,0.5,21.8,26,0,Wednesday
888219,1,125.0,17.0,4.7,2017-04-04 00:59:51,2017-04-04 01:20:57,0.5,24.1,21,0,Tuesday
753450,2,79.0,229.0,2.3,2017-04-07 00:36:27,2017-04-07 00:43:10,0.5,10.8,6,0,Friday
926810,2,230.0,107.0,2.08,2017-04-04 00:13:50,2017-04-04 00:22:37,0.5,10.8,8,0,Tuesday
773997,1,79.0,137.0,0.6,2017-04-05 00:22:24,2017-04-05 00:24:25,0.5,5.3,2,0,Wednesday
688077,2,231.0,79.0,1.72,2017-04-07 00:57:36,2017-04-07 01:08:58,0.5,12.0,11,0,Friday
861817,1,231.0,195.0,4.6,2017-04-07 00:44:13,2017-04-07 00:59:08,0.5,21.6,14,0,Friday
41748,2,87.0,141.0,6.8,2017-04-04 00:13:48,2017-04-04 00:29:09,0.5,26.16,15,0,Tuesday
