Unnamed: 0,Date,Open,High,Low,Close*,Adj Close**,Volume
0,2023-11-20,234.04,237.1,231.02,235.6,235.6,115325704
1,2023-11-17,232.0,237.39,226.54,234.3,234.3,142532800
2,2023-11-16,239.49,240.88,230.96,233.59,233.59,136816800
3,2023-11-15,239.29,246.7,236.45,242.84,242.84,150354000
4,2023-11-14,235.03,238.14,230.72,237.41,237.41,149771600
5,2023-11-13,215.6,225.4,211.61,223.71,223.71,140447600
6,2023-11-10,210.03,215.38,205.69,214.65,214.65,130994000
7,2023-11-09,219.75,220.8,206.68,209.98,209.98,142110500
8,2023-11-08,223.15,224.15,217.64,222.11,222.11,106584800
9,2023-11-07,219.98,223.12,215.72,222.18,222.18,116900100
10,2023-11-06,223.98,226.32,215.0,219.27,219.27,117335800
11,2023-11-03,221.15,226.37,218.4,219.96,219.96,119281000
12,2023-11-02,212.97,219.2,211.45,218.51,218.51,125987600
13,2023-11-01,204.04,205.99,197.85,205.66,205.66,121661700
14,2023-10-31,196.12,202.8,194.07,200.84,200.84,118068300
15,2023-10-30,209.28,210.88,194.67,197.36,197.36,136448200
16,2023-10-27,210.6,212.41,205.77,207.3,207.3,94881200
17,2023-10-26,211.32,214.8,204.88,205.76,205.76,115112600
18,2023-10-25,215.88,220.1,212.2,212.42,212.42,107065100
19,2023-10-24,216.5,222.05,214.11,216.52,216.52,118231100
20,2023-10-23,210.0,216.98,202.51,212.08,212.08,150683400
21,2023-10-20,217.01,218.86,210.42,211.99,211.99,137734000
22,2023-10-19,225.95,230.61,216.78,220.11,220.11,170772700
23,2023-10-18,252.7,254.63,242.08,242.68,242.68,125147800
24,2023-10-17,250.1,257.18,247.08,254.85,254.85,93562900
25,2023-10-16,250.05,255.4,248.48,253.92,253.92,88917200
26,2023-10-13,258.9,259.6,250.22,251.12,251.12,102073800
27,2023-10-12,262.92,265.41,256.63,258.87,258.87,111508100
28,2023-10-11,266.2,268.6,260.9,262.99,262.99,103706300
29,2023-10-10,257.75,268.94,257.65,263.62,263.62,122656000
30,2023-10-09,255.31,261.36,252.05,259.67,259.67,101377900
31,2023-10-06,253.98,261.65,250.65,260.53,260.53,117947000
32,2023-10-05,260.0,263.6,256.25,260.05,260.05,119159200
33,2023-10-04,248.14,261.86,247.6,261.16,261.16,129721600
34,2023-10-03,248.61,250.02,244.45,246.53,246.53,101985300
35,2023-10-02,244.81,254.28,242.62,251.6,251.6,123810400
36,2023-09-29,250.0,254.77,246.35,250.22,250.22,128346200
37,2023-09-28,240.02,247.55,238.65,246.38,246.38,117058900
38,2023-09-27,244.26,245.33,234.58,240.5,240.5,136597200
39,2023-09-26,242.98,249.55,241.66,244.12,244.12,101993600
40,2023-09-25,243.38,247.1,238.31,246.99,246.99,104636600
41,2023-09-22,257.4,257.79,244.48,244.88,244.88,127524100
42,2023-09-21,257.85,260.86,254.21,255.7,255.7,119531000
43,2023-09-20,267.04,273.93,262.46,262.59,262.59,122514600
44,2023-09-19,264.35,267.85,261.2,266.5,266.5,103704000
45,2023-09-18,271.16,271.44,263.76,265.28,265.28,101543300
46,2023-09-15,277.55,278.98,271.0,274.39,274.39,133422800
47,2023-09-14,271.32,276.71,270.42,276.04,276.04,107709800
48,2023-09-13,270.07,274.98,268.1,271.3,271.3,111673700
49,2023-09-12,270.76,278.39,266.6,267.48,267.48,135999900
50,2023-09-11,264.27,274.85,260.61,273.58,273.58,174667900
51,2023-09-08,251.22,256.52,246.67,248.5,248.5,118367700
52,2023-09-07,245.07,252.81,243.27,251.49,251.49,115312900
53,2023-09-06,255.14,255.39,245.06,251.92,251.92,116959800
54,2023-09-05,245.0,258.0,244.86,256.49,256.49,129469600
55,2023-09-01,257.26,259.08,242.01,245.01,245.01,132272500
56,2023-08-31,255.98,261.18,255.05,258.08,258.08,108861700
57,2023-08-30,254.2,260.51,250.59,256.9,256.9,121988400
58,2023-08-29,238.58,257.48,237.77,257.18,257.18,134047600
59,2023-08-28,242.58,244.38,235.35,238.82,238.82,107673700
60,2023-08-25,231.31,239.0,230.35,238.59,238.59,106612200
61,2023-08-24,238.66,238.92,228.18,230.04,230.04,99777400
62,2023-08-23,229.34,238.98,229.29,236.86,236.86,101077600
63,2023-08-22,240.25,240.82,229.55,233.19,233.19,130597900
64,2023-08-21,221.55,232.13,220.58,231.28,231.28,135702700
