Date,Product Category,Revenue
2012-12-31,iPhone,80000000000
2013-12-31,iPhone,90000000000
2014-12-31,iPhone,105000000000
2015-12-31,iPhone,140000000000
2016-12-31,iPhone,135000000000
2017-12-31,iPhone,141000000000
2018-12-31,iPhone,155000000000
2019-12-31,iPhone,142000000000
2020-12-31,iPhone,157000000000
2021-12-31,iPhone,192000000000
2012-12-31,iPad,30000000000
2013-12-31,iPad,27000000000
2014-12-31,iPad,25000000000
2015-12-31,iPad,22000000000
2016-12-31,iPad,20000000000
2017-12-31,iPad,19000000000
2018-12-31,iPad,18000000000
2019-12-31,iPad,19000000000
2020-12-31,iPad,21000000000
2021-12-31,iPad,22000000000
2012-12-31,Mac,23000000000
2013-12-31,Mac,24000000000
2014-12-31,Mac,25000000000
2015-12-31,Mac,26000000000
2016-12-31,Mac,27000000000
2017-12-31,Mac,28000000000
2018-12-31,Mac,30000000000
2019-12-31,Mac,31000000000
2020-12-31,Mac,32000000000
2021-12-31,Mac,35000000000
2012-12-31,Services,10000000000
2013-12-31,Services,12000000000
2014-12-31,Services,15000000000
2015-12-31,Services,18000000000
2016-12-31,Services,21000000000
2017-12-31,Services,25000000000
2018-12-31,Services,30000000000
2019-12-31,Services,36000000000
2020-12-31,Services,46000000000
2021-12-31,Services,60000000000
2012-12-31,Wearables,5000000000
2013-12-31,Wearables,8000000000
2014-12-31,Wearables,10000000000
2015-12-31,Wearables,12000000000
2016-12-31,Wearables,15000000000
2017-12-31,Wearables,17000000000
2018-12-31,Wearables,20000000000
2019-12-31,Wearables,22000000000
2020-12-31,Wearables,27000000000
2021-12-31,Wearables,35000000000
