Company,Variable,Date,Value
Apple,Revenue,2012-12-31,156508000000
Apple,Revenue,2013-12-31,170910000000
Apple,Revenue,2014-12-31,182795000000
Apple,Revenue,2015-12-31,233715000000
Apple,Revenue,2016-12-31,215639000000
Apple,Revenue,2017-12-31,229234000000
Apple,Revenue,2018-12-31,265595000000
Apple,Revenue,2019-12-31,260174000000
Apple,Revenue,2020-12-31,274515000000
Apple,Revenue,2021-12-31,365817000000
Apple,Net Income,2012-12-31,41733000000
Apple,Net Income,2013-12-31,37037000000
Apple,Net Income,2014-12-31,39510000000
Apple,Net Income,2015-12-31,53394000000
Apple,Net Income,2016-12-31,45687000000
Apple,Net Income,2017-12-31,48351000000
Apple,Net Income,2018-12-31,59531000000
Apple,Net Income,2019-12-31,55256000000
Apple,Net Income,2020-12-31,57411000000
Apple,Net Income,2021-12-31,94680000000
Tesla,Revenue,2012-12-31,413000000
Tesla,Revenue,2013-12-31,2013000000
Tesla,Revenue,2014-12-31,3198000000
Tesla,Revenue,2015-12-31,4046000000
Tesla,Revenue,2016-12-31,7000000000
Tesla,Revenue,2017-12-31,11759000000
Tesla,Revenue,2018-12-31,21461000000
Tesla,Revenue,2019-12-31,24578000000
Tesla,Revenue,2020-12-31,31536000000
Tesla,Revenue,2021-12-31,53823000000
Tesla,Net Income,2012-12-31,-396000000
Tesla,Net Income,2013-12-31,-74000000
Tesla,Net Income,2014-12-31,-294000000
Tesla,Net Income,2015-12-31,-889000000
Tesla,Net Income,2016-12-31,-675000000
Tesla,Net Income,2017-12-31,-191000000
Tesla,Net Income,2018-12-31,-976000000
Tesla,Net Income,2019-12-31,721000000
Tesla,Net Income,2020-12-31,564000000
Tesla,Net Income,2021-12-31,5519000000
