id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score
tm84618,Taxi Driver,MOVIE,1976,R,114,"['drama', 'crime']",['US'],8.2
tm154986,Deliverance,MOVIE,1972,R,109,"['drama', 'action', 'thriller', 'european']",['US'],7.7
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['fantasy', 'action', 'comedy']",['GB'],8.2
tm120801,The Dirty Dozen,MOVIE,1967,Not Availavle,150,"['war', 'action']","['GB', 'US']",7.7
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],8.8
tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],8.0
tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'action', 'crime']",['US'],7.7
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['crime', 'drama', 'action']",['US'],7.7
tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'action', 'drama']",['US'],5.8
tm44204,The Guns of Navarone,MOVIE,1961,Not Availavle,158,"['action', 'drama', 'war']","['GB', 'US']",7.5
tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],7.3
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],8.1
tm16479,White Christmas,MOVIE,1954,Not Availavle,115,"['romance', 'comedy']",['US'],7.5
tm135083,Cairo Station,MOVIE,1958,Not Availavle,77,"['drama', 'crime', 'comedy']",['EG'],7.5
tm89386,Hitler: A Career,MOVIE,1977,PG,150,"['history', 'documentation', 'european']",['DE'],7.5
tm156453,FTA,MOVIE,1972,R,97,"['war', 'documentation', 'music', 'comedy']",['US'],6.2
tm14350,Alexandria… Why?,MOVIE,1979,Not Availavle,133,['drama'],['EG'],7.2
tm81728,The Land,MOVIE,1969,Not Availavle,129,['drama'],['EG'],8.1
tm94651,Dostana,MOVIE,1980,Not Availavle,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],2.1
tm27298,Saladin the Victorious,MOVIE,1963,Not Availavle,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],7.6
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,Not Availavle,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.2
tm19608,The Blazing Sun,MOVIE,1954,Not Availavle,100,"['crime', 'romance', 'drama']",['EG'],7.4
tm204541,Dark Waters,MOVIE,1956,Not Availavle,120,"['action', 'drama', 'romance', 'thriller']",['EG'],6.7
tm259855,We Are All for the Fatherland,MOVIE,1979,Not Availavle,74,['documentation'],"['LB', 'CA', 'FR']",6.1
tm356209,Singapore,MOVIE,1960,Not Availavle,158,"['drama', 'thriller', 'crime']",['IN'],6.4
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],8.1
tm200475,"Beirut, Oh Beirut",MOVIE,1975,Not Availavle,110,['drama'],['LB'],6.4
tm90896,The Return of the Prodigal Son,MOVIE,1976,Not Availavle,124,"['music', 'drama', 'crime']","['DZ', 'EG']",7.2
tm336403,Khoon Khoon,MOVIE,1973,Not Availavle,131,"['crime', 'thriller']",['IN'],5.1
tm107372,Manoranjan,MOVIE,1974,Not Availavle,162,"['romance', 'drama', 'comedy']",['IN'],6.5
